Issue_div,Issued_div_last_year,Net_margin,EBIT_income_growth_yoy,Net_gearing,Capex_to_EBITDA
1,1,0.55848,1.470369,-0.415243,0.038399468
1,0,0.163531,0.437837,-0.032073,0.055635411
1,1,0.35956,0.23621,0.083095,0.328789503
1,1,0.488493,6.805871,-0.34734,0.030221644
1,1,0.239713,0.077996,-0.66007,0.069127256
0,0,0.092871,0.86131,0.16308,0.622419366
1,0,0.286037,0.333325,-0.215209,0.398835417
1,0,0.379086,0.484032,-0.153561,0.425170611
1,1,0.114302,-0.16931,0.880168,0.021087467
0,0,0.22337,0.498074,0.339936,0.039192639
1,1,0.197636,0.172611,9.071112,0.293406265
0,0,0.161294,1.587425,-0.979656,0.033035247
1,1,0.1393,0.262442,1.757908,0.24511299
0,0,0.118656,3.865049,-0.010596,0.066915174
1,1,0.191811,-0.189608,0.316299,0.039800404
1,1,0.095979,-0.016193,1.59919,0.061848887
1,1,0.181947,0.155683,0.135225,0.052598359
0,0,0.129734,0.790026,-0.362577,0.404174573
1,0,0.054421,0.58853,0.412378,0.303533371
1,1,0.08784,-0.188057,1.174115,0.40032796
1,1,0.111944,0.089213,-0.030489,0.040029711
1,1,0.129878,0.253923,1.632245,0.308578445
0,0,0.063642,3.738155,-0.050809,0.116997792
0,0,0.258545,0.013684,-0.129741,0.020873731
1,1,0.305287,-0.254536,0.402118,0.700683239
1,1,0.260305,0.293143,0.081449,0.084168823
1,1,0.130865,-0.000729,1.136957,0.309887126
0,0,0.092276,0.04451,4.807683,0.50231791
1,1,0.084726,0.129535,-0.527016,0.159806959
0,0,0.285486,0.847106,-1.024383,0.008694824
0,0,0.091977,0.192116,-0.062055,0.247410817
0,0,0.026416,1.945804,-0.531985,0.232916506
1,1,0.035691,0.488415,-0.649853,0.217536403
1,1,0.192065,0.19423,0.382513,0.168196842
1,1,0.341462,0.061643,-0.154304,0.264089073
1,1,0.161934,-0.579325,-0.057237,0.215140845
1,1,0.253062,-0.043002,-0.614183,0.085737756
0,0,0.052933,2.008818,0.335733,0.541743723
0,0,0.240066,0.126279,-0.289538,0.32380197
0,0,0.289825,0.615222,-0.179404,0.403641747
1,1,0.393143,0.139332,1.061322,0.021907716
0,0,0.160364,0.234548,0.477722,0.045022053
1,1,0.170217,0.198334,54.729434,0.419177554
1,0,0.105871,1.180345,1.668099,0.290219419
0,0,0.006634,0.879562,0.040628,0.120361991
1,1,0.221288,0.076025,-0.377314,0.047240151
1,1,0.121274,0.134603,2.056074,0.1040313
1,1,0.165924,0.221704,0.175285,0.063866372
0,0,0.192955,1.146479,-0.339932,0.465459423
0,0,0.02648,-0.204653,0.322886,0.330100312
1,1,0.107181,-0.059494,-0.223012,0.040612555
1,1,0.086688,-0.249122,1.843058,0.347382645
0,0,0.037654,-0.682753,-0.049435,0.129383886
0,0,0.279664,0.090521,-0.227752,0.046159764
1,1,0.369713,-0.277022,0.190211,0.586785466
1,1,0.201898,-0.508953,0.219777,0.133480622
1,1,0.126575,0.660423,1.167659,0.315109395
1,1,0.031146,-0.960154,0.171273,2.661773827
0,0,0.083451,0.049908,6.681411,0.512023217
1,0,0.08347,0.441038,-0.511735,0.19667701
0,0,0.242395,0.930758,-1.105758,0.009621139
0,0,0.065334,1.134429,-0.228916,0.175275482
1,1,0.022281,0.319525,-0.68343,0.379309038
1,1,0.273635,-0.174043,0.484834,0.170276326
1,1,0.366863,0.192617,-0.15826,0.238136066
1,1,0.362339,1.215578,-0.35236,0.078887811
1,1,0.253096,0.096265,-0.722865,0.080851096
0,0,-0.005296,-0.507697,0.581651,1.009981592
0,0,0.212038,-0.049191,-0.327101,0.336126828
0,0,0.198955,-0.380917,-0.107069,0.659525358
1,1,0.338012,0.669797,1.213704,0.021761445
0,0,0.14208,-0.090674,0.523314,0.062408993
0,0,-0.196081,0.607827,-0.9023,-0.284863322
0,0,0.03255,-0.050638,1.540212,0.413815575
0,0,0.054507,0.204396,0.065937,0.145554202
1,1,0.229106,0.088522,-0.218892,0.028640048
1,1,0.027077,0.201183,2.055992,0.143076805
1,1,0.162345,0.0284,0.259048,0.06591825
0,0,0.044859,0.381323,-0.406995,0.595238095
0,0,0.025652,1.174043,0.375021,0.342811568
1,1,0.111653,0.229042,-0.200819,0.058811807
1,1,0.15534,-0.061052,1.87887,0.447032627
0,0,0.178935,1.044071,-0.727175,0.068249258
0,0,0.05593,-0.653509,-0.054466,0.075313808
0,0,0.270135,0.051017,-0.104121,0.062244754
1,1,0.434891,0.131696,0.005968,0.244493007
1,1,0.29267,0.620186,0.542775,0.124326701
1,1,0.044224,-0.325503,1.243521,0.281430126
1,1,0.127097,-0.880037,0.079488,1.717282512
0,0,0.093573,0.136424,7.823093,0.433512114
0,0,0.072631,-0.223466,-0.463964,0.30384565
0,0,0.241564,3.408144,-1.125103,0.019151381
0,0,0.045744,1.346251,0.637657,0.287888396
0,0,-0.132647,0.060359,-0.41456,-2.068150794
